source_id,citation,pmid,doi,country,setting,population,study_design,pathogen_scope,acquisition_context,hospital_acquired_definition,diagnostic_method,surveillance_frame,comparator_group,risk_factor_name,canonical_feature_name,risk_factor_type,feature_class,temporal_stage,risk_factor_definition,finding_text,effect_size,effect_size_type,confidence_interval,p_value,effect_direction,evidence_strength,adjustment_level,outcome_linked,clinical_context,applicability_to_influenza,key_limitations,study_reported_implication,codeblue_translation,tags,factor_role,data_status
zhang_2025,Zhang et al. 2025,40308921,10.3389/fpubh.2025.1495794,China,Zhengzhou Central Hospital,953 adults hospitalized >7 days,Retrospective ML study,Influenza,Hospital-acquired,>=7 days after admission,PCR + ML,Jan 2021-May 2024,HA vs non-HA,icu_admission,icu_context,patient,operational,early_hospitalization,Admission to ICU,ICU admission identified as important feature in ML model,NR,model feature,NR,NR,increase_risk,low,ML model,severity,Adult inpatients,influenza_only,ML-based; not causal direction,ICU reflects severity context,Add ICU escalation signal,HIGH SEVERITY; ICU,severity_associated,ready_partial
mangas_moro_2023,Mangas-Moro et al. 2023,36064786,10.1016/j.eimce.2022.08.005,Spain,Tertiary hospital,1260 patients,Retrospective,Influenza,Hospital-acquired / compared,>=72h,Microbiology,2009-2019,HA vs CA,chronic_lung_disease,pulmonary_comorbidity,patient,comorbidity,baseline,Chronic lung disease,More frequent in nosocomial cases (univariate),1.366,OR,1.037-1.799,0.01,mixed_or_unclear,medium,Univariate,comparative profile,Hospitalized influenza,influenza_only,Not retained in multivariable model,Represents phenotype difference,Use as descriptive comparator,COMPARATIVE PROFILE,comparative_profile,ready
mangas_moro_2023,Mangas-Moro et al. 2023,36064786,10.1016/j.eimce.2022.08.005,Spain,Tertiary hospital,1260 patients,Retrospective,Influenza,Hospital-acquired / compared,>=72h,Microbiology,2009-2019,HA vs CA,bacterial_superinfection,bacterial_superinfection,pathogen_interaction,pathogen,outbreak_dynamic,Bacterial superinfection,Associated with nosocomial influenza,1.636,ORa,1.057-2.533,28,increase_risk,high,Multivariable,secondary infection,Hospitalized influenza,influenza_only,Post-infection event,HA influenza linked to complications,Route to interaction logic,COINFECTION; SEVERITY,severity_associated,ready
mangas_moro_2023,Mangas-Moro et al. 2023,36064786,10.1016/j.eimce.2022.08.005,Spain,Tertiary hospital,1260 patients,Retrospective,Influenza,Hospital-acquired / compared,>=72h,Microbiology,2009-2019,HA vs CA,ards_or_respiratory_distress,respiratory_distress,vital,vital,early_hospitalization,Respiratory distress,Associated with nosocomial influenza,3.884,ORa,1.233-12.233,11,increase_risk,high,Multivariable,severity,Hospitalized influenza,influenza_only,Represents disease progression,HA influenza linked to respiratory failure,Add escalation signal,RESPIRATORY FAILURE,severity_associated,ready
mangas_moro_2023,Mangas-Moro et al. 2023,36064786,10.1016/j.eimce.2022.08.005,Spain,Tertiary hospital,1260 patients,Retrospective,Influenza,Hospital-acquired / compared,>=72h,Microbiology,2009-2019,HA vs CA,icu_admission,icu_context,patient,operational,early_hospitalization,ICU admission,Associated with nosocomial influenza,4.297,ORa,2.225-10.909,<0.001,increase_risk,high,Multivariable,severity,Hospitalized influenza,influenza_only,Temporal ambiguity,HA influenza leads to ICU need,Add ICU escalation signal,HIGH SEVERITY; ICU,severity_associated,ready
naudion_2020,Naudion et al. 2020,31825110,10.1002/jmv.25652,France,Tertiary hospital,208 patients,Retrospective,Influenza,Hospital-acquired / compared,>48h,RT-PCR,2016-2017,HA vs CA,absence_of_acute_respiratory_failure,respiratory_failure_absence,vital,vital,early_hospitalization,Absence of respiratory failure,Less frequent in CA vs HA,0.20,OR,0.08-0.49,<0.001,decrease_risk,high,Multivariable,comparative profile,Hospitalized influenza,influenza_only,Comparative only,Phenotype difference marker,Use as clinical profile indicator,COMPARATIVE PROFILE,comparative_profile,ready
rothman_2023,Rothman et al. 2023,NR,10.1016/j.jhin.2023.06.024,Sweden,Hospitalized adults,4110 patients,Observational,Influenza,Hospital-acquired,NR,PCR,2013-2019,Subtype comparison,HAI_30day_mortality,mortality_30d,comparative_outcome,outcome,post_infection,30-day mortality,Mortality ~9.3%,9.3%,proportion,NR,NR,increase_risk,contextual,Observational,mortality,Hospitalized influenza,influenza_only,Outcome-only row,Mortality remains significant,Add mortality baseline,MORTALITY,severity_associated,ready
alvarez_lerma_2017,Álvarez-Lerma et al. 2017,28153560,10.1016/j.jhin.2016.12.017,Spain,148 ICUs,2421 patients,Cohort,Influenza,Hospital-acquired / compared,>=7 days,PCR,2009-2015,HA vs CA,influenza_vaccination,influenza_vaccination,patient,treatment,baseline,Vaccination status,Higher in HA ICU patients,2.66,OR,1.45-4.86,2,mixed_or_unclear,medium,Cox,comparative profile,ICU patients,influenza_only,Confounded by severity,Vaccination reflects vulnerability,Treat as proxy only,VACCINATION CONTEXT,comparative_profile,ready
alvarez_lerma_2017,Álvarez-Lerma et al. 2017,28153560,10.1016/j.jhin.2016.12.017,Spain,148 ICUs,2421 patients,Cohort,Influenza,Hospital-acquired / compared,>=7 days,PCR,2009-2015,HA vs CA,mechanical_ventilation_need,mechanical_ventilation,vital,vital,post_infection,Mechanical ventilation,Associated with HA influenza,1.83,OR,1.16-2.97,9,increase_risk,high,Cox,severity,ICU patients,influenza_only,Post-infection,More severe respiratory course,Add escalation trigger,VENTILATION,severity_associated,ready
alvarez_lerma_2017,Álvarez-Lerma et al. 2017,28153560,10.1016/j.jhin.2016.12.017,Spain,148 ICUs,1245 patients,Cohort,Influenza,Hospital-acquired / compared,>=7 days,PCR,2009-2015,HA vs CA,hospital_acquired_influenza_status,hai_status,comparative_outcome,outcome,post_infection,HAI vs CAI status,Associated with ICU mortality,1.63,OR,1.33-1.98,<0.001,increase_risk,high,Cox,mortality,ICU patients,influenza_only,Label variable,HAI increases mortality risk,Use as severity modifier,MORTALITY; LABEL,severity_associated,ready
zhou_2018,Zhou et al. 2018,29413513,10.1016/j.rmed.2017.11.017,China,Chinese national hospital network,2146 hospitalized severe influenza A(H1N1)pdm09 patients,Prospective cohort analysis,Influenza,Hospitalized severe influenza cohort,Nosocomial infection occurring after admission among severe influenza patients,Prospectively collected clinical database,2009 pandemic period,Nosocomial infection vs no nosocomial infection,in_hospital_mortality_with_secondary_nosocomial_infection,in_hospital_mortality,comparative_outcome,outcome,post_infection,In-hospital mortality among severe influenza patients with versus without secondary nosocomial infection,In-hospital mortality was much higher in patients with nosocomial infection than in those without,45.7% vs 11.8%,proportion comparison,NR,<0.001,increase_risk,medium,Descriptive comparison,mortality,Hospitalized severe influenza A(H1N1)pdm09 patients,influenza_only,Descriptive outcome comparison in abstract; not a pure predictor row,Secondary nosocomial infection markedly worsens hospital mortality in severe influenza,Treat secondary nosocomial infection as a major mortality-escalation state,MORTALITY; SECONDARY INFECTION,severity_associated,ready
sansone_2020,Sansone et al. 2020,32011654,10.1093/cid/ciaa108,Sweden,"Large acute-care university hospital, Gothenburg",435 hospitalized adult influenza A cases; 114 HCAI cases,Retrospective hospital-wide season analysis with WGS,Influenza A,Hospital-acquired / compared,ILI or ARI symptom onset >=48 h after admission or <=48 h after discharge,Real-time PCR + whole-genome sequencing,2016/17 influenza season,HCAI vs non-HCAI,age_as_independent_risk_factor_for_30day_death,age,comparative_outcome,demographic,post_infection,Age as predictor of 30-day mortality among hospitalized influenza A cases,"In multivariable analysis, age was the only independent risk factor for death within 30 days",NR,hazard ratio reported qualitatively,NR,<0.05,increase_risk,high,Multivariable Cox regression,mortality,Hospitalized adult influenza A cases,influenza_only,Exact adjusted HR value not shown in abstract/main summary text cited here,Older age independently predicted short-term mortality,Use age as severity modifier after influenza diagnosis,MORTALITY; AGE,severity_associated,ready_partial
