trigger_id,trigger_name,trigger_type,input_source,logic_definition,trigger_window,priority,,primary_action_family,secondary_action_family,related_features,rationale,recommended_source_basis,status
,,,,,,,,,,,,,
respiratory_symptoms_at_arrival,Respiratory symptoms at arrival or registration,symptom_entry_trigger,registration_triage_and_frontline_screening,"New arrival reports cough, fever, runny nose, sore throat, myalgia, or other compatible respiratory symptoms",Immediate / current shift,high,,screen_and_mask_symptomatic_person,rapid_influenza_test_review,symptom_presence; arrival_location; waiting_area_density; destination_ward_vulnerability,This is the first operational source-control trigger and should act before admission or waiting-area exposure expands,CDC Flu Infection Control 2025,ready
suspected_or_confirmed_inpatient_influenza,Suspected or confirmed inpatient influenza,case_detection,clinical_assessment_plus_virology_feed,"New inpatient suspicion or confirmation of influenza based on symptoms, clinician judgment, or testing",Immediate,critical,,implement_droplet_precautions_review,private_room_or_cohort_review,case_status; symptom_onset; patient_location; current_precaution_status,"This is the main inpatient influenza trigger and should immediately route isolation, rooming, and treatment review",CDC Flu Infection Control 2025,ready
same_room_exposure_to_confirmed_case,Same-room exposure to confirmed case,direct_exposure,room_time_event_history,Patient shared the same room with a confirmed influenza case during the configured exposure window,Next 24-48h,critical,,postexposure_prophylaxis_review,private_room_or_cohort_review,same_room_exposure; exposure_timing; room_sharing; ward_vulnerability,This is one of the strongest operationally actionable exposure signals and is central to CodeBlue’s protect-the-clean-vulnerable-zone logic,Cho 2024 plus internal CodeBlue adaptive policy bridge,ready
same_unit_exposure_to_confirmed_case,Same-unit exposure to confirmed case,direct_exposure,unit_time_event_history,Patient co-located on the same ward or unit with a confirmed influenza case during the configured exposure window,Next 24-48h,high,,rapid_influenza_test_review,implement_droplet_precautions_review,same_unit_exposure; ward_context; ward_cluster_state,This is the ward-level exposure trigger for broader surveillance and early testing when same-room data are absent or spread may already be broader,Cho 2024 plus internal CodeBlue adaptive policy bridge,ready
single_room_unavailable_for_influenza_case,Single room unavailable for influenza case,capacity_constraint,bed_management_system,Suspected or confirmed influenza patient cannot be placed immediately in a single room or fully preferred placement,Immediate,critical,,multi_bed_room_contingency_review,private_room_or_cohort_review,room_capacity; roommate_profile; barrier_feasibility; masking_feasibility,This exists so the system routes into an approved fallback bundle rather than doing nothing when ideal IPC placement is impossible,CDC Flu Infection Control 2025 plus contingency-rooming logic from Cazzorla 2022,ready
ill_hcp_detected,Ill healthcare worker with fever and respiratory symptoms,staff_illness_trigger,occupational_health_plus_supervisor_report,HCP develops febrile respiratory illness before or during work and may expose patients or coworkers,Immediate,critical,,staff_work_restriction_review,cross_coverage_restriction_review,symptoms; work_assignment; current_shift_status; multi_ward_cross_coverage,This is the main staff-vector trigger and should route immediate human review rather than passive monitoring,CDC Flu Infection Control 2025 plus CDC Core Practices 2024,ready
hcp_returns_with_residual_respiratory_symptoms,HCP returns with residual respiratory symptoms,post_return_staff_source_control,occupational_health_plus_supervisor,HCP has returned to work after fever resolution but still has cough or sneezing,Current shift / upon return,medium,,staff_masking_escalation_review,staff_work_restriction_review,residual_symptoms; patient_facing_role; ward_vulnerability,"This is a narrower follow-on trigger for ongoing source-control after return, especially in patient-facing settings",CDC Flu Infection Control 2025,ready
exposed_hcp_assigned_to_high_vulnerability_ward,Exposed HCP assigned to high-vulnerability ward,staff_assignment_risk,staffing_system_plus_exposure_engine,"Exposed or recently ill HCP is scheduled to work in oncology, transplant, hematology, ICU, neonatal, or other high-vulnerability service",Immediate / next shift,high,,cross_coverage_restriction_review,staff_work_restriction_review,hcp_exposure_status; downstream_assignments; ward_vulnerability; staffing_pressure,This captures one of CodeBlue’s core adaptive criteria: preventing staff-mediated movement of pathogen into still-clean vulnerable zones,Internal CodeBlue policy logic supported by CDC HCP management principles,ready
ward_cluster_signal,Ward cluster signal,cluster_detection,surveillance_engine,Two or more likely linked healthcare-associated influenza cases are detected on the same ward or unit within a short rolling window,Next 24h,critical,,outbreak_escalation_review,staff_masking_escalation_review,case_count; timeframe; linkage_plausibility; ward_location,This is the main ward-level outbreak trigger and should shift the system from individual review to coordinated service-level response,CDC Flu Infection Control 2025 plus internal outbreak-governance logic,ready
