canonical_feature_name,alias_name,feature_class,default_temporal_stage,description,typical_effect_direction,deployment_priority
age,age; older_age; advanced_age,patient,baseline,Patient age at admission,increase_risk,core
chronic_kidney_disease,chronic_renal_disease; chronic_renal_failure,comorbidity,baseline,Chronic renal impairment,increase_risk,core
immunodeficiency,immunocompromised; immunosuppressed,comorbidity,baseline,"Impaired immune system (HIV, chemo, etc.)",increase_risk,core
malignancy,cancer; malignant_tumor,comorbidity,baseline,Presence of active cancer,increase_risk,core
rapidly_fatal_underlying_disease,mccabe_score_high,comorbidity,baseline,Severe underlying disease with poor prognosis,increase_risk,core
body_mass_index,bmi,patient,baseline,Body mass index,mixed_or_unclear,supportive
influenza_vaccination,vaccination_status; patient_influenza_vaccination,treatment,baseline,Receipt of seasonal influenza vaccine,decrease_risk,core
glucocorticoid_exposure,steroid_use; glucocorticoid_use,treatment,early_hospitalization,Systemic corticosteroid exposure,increase_risk,core
lymphopenia,lymphocytopenia,lab,early_hospitalization,Low lymphocyte count,increase_risk,core
hypoalbuminemia,low_albumin,lab,early_hospitalization,Low serum albumin,increase_risk,core
protein_depletion,hypoproteinemia,lab,early_hospitalization,Low total protein / malnutrition,increase_risk,supportive
pleural_effusion,pleural_effusion,radiology,early_hospitalization,Pleural fluid on imaging,increase_risk,supportive
pneumonia_at_admission,pneumonia_on_admission,radiology,early_hospitalization,Pneumonia diagnosed on admission,increase_risk,core
hospital_exposure_duration,length_of_stay,exposure,during_exposure_window,Duration of hospital stay before infection,increase_risk,core
patient_exposure,exposure_to_infected_patients,exposure,during_exposure_window,Contact with infectious patients,increase_risk,core
hcw_exposure,exposure_to_infected_staff,staff_vector,during_exposure_window,Contact with infectious healthcare workers,increase_risk,core
short_lag_exposure,exposure_one_day_before,exposure,outbreak_dynamic,Recent exposure shortly before symptom onset,increase_risk,supportive
hidden_transmission,unobservable_contagious_period,exposure,outbreak_dynamic,Transmission during asymptomatic period,increase_risk,supportive
room_sharing,double_room; multi_occupancy_room,structural,ward_level_static,Shared patient rooms,increase_risk,core
community_viral_pressure,community_acquired_vri_incidence,exposure,ward_level,Density of viral infections in ward,increase_risk,core
mask_use_intensity,mask_consumption,operational,outbreak_dynamic,Mask usage intensity (proxy of outbreak),contextual,supportive
geriatric_ward_context,geriatric_ward_admission,ward_level,early_hospitalization,Geriatric ward admission,decrease_risk,supportive
post_acute_transfer,post_acute_care_transfer,exposure,surveillance_classification,Transfer from post-acute care facility,increase_risk,core
recent_discharge_exposure,recent_acute_care_discharge,exposure,surveillance_classification,Recent hospital discharge before admission,increase_risk,core
hcai_fraction_in_hospitalized_influenza,hospital_acquired_case_fraction,surveillance,surveillance_classification,Proportion of hospital-acquired influenza,contextual,supportive
h3n2_associated_dissemination,H3N2_subtype,pathogen,outbreak_dynamic,H3N2 subtype associated with higher spread,increase_risk,supportive
clustered_dissemination,clustered_cases,transmission,outbreak_dynamic,Clustered transmission pattern,increase_risk,supportive
solitary_case_pattern,solitary_cases,transmission,outbreak_dynamic,Isolated cases (less spread),decrease_risk,supportive
wgs_confirmed_cluster,wgs_confirmed_cluster,transmission,outbreak_dynamic,WGS-confirmed transmission cluster,contextual,research_only
wgs_refuted_cluster,wgs_refuted_cluster,transmission,outbreak_dynamic,WGS-refuted transmission,contextual,research_only
wgs_pairwise_distance_context,snv_distance,transmission,outbreak_dynamic,Genomic similarity threshold,contextual,research_only
hcw_vaccination_rate,staff_vaccination_rate,operational,staff_vector,Influenza vaccination among staff,decrease_risk,supportive
nursing_staff_vaccination_rate,nurse_vaccination_rate,operational,staff_vector,Vaccination among nursing staff,decrease_risk,supportive
high_risk_area_staff_vaccination_rate,high_risk_staff_vaccination,operational,staff_vector,Vaccination in high-risk units,decrease_risk,supportive
vaccinate_or_mask_policy,mask_policy,operational,operational,Policy requiring vaccination or mask use,decrease_risk,supportive
