action_id,action_name,action_domain,action_intent,target_entity,target_scope,default_timing,default_owner,human_review_role,review_requirement,reversibility,action_description,direct_required_inputs,contextual_inputs,contraindications_or_blockers,can_be_combined_with,feasibility_notes,audit_notes,data_status
activate_screening_triage_and_visual_alerts,"Activate screening, triage, and visual alerts",screening_and_source_control,front_end_source_control,facility_or_unit,entry_points_waiting_areas_and_registration,preseason_or_when_activity_rises,clinical_operations_plus_ipc,unit_lead_or_ipc,required,reversible,"Activate front-end respiratory screening, triage flow, signage, and source-control messaging at entrances, registration, and waiting areas",signage_availability; mask_and_hand_hygiene_supply; entry_point_type; staffing_plan,seasonality_profile_id; current_date; community_activity_level; hospital_respiratory_burden; influenza_specific_hospital_burden; prior_hai_burden,severe staffing shortage; no operational intake point,screen_and_mask_symptomatic_person; rapid_influenza_test_review,Mostly operational rather than bedside; can be scaled by facility area,"Log activation date, affected areas, and deactivation date",ready
screen_and_mask_symptomatic_person,Screen and mask symptomatic person,screening_and_source_control,source_control,patient_or_visitor,individual,at_first_contact,frontline_team,frontline_clinician_or_unit_lead,required,reversible,"Provide mask, initiate respiratory hygiene measures, and route symptomatic person through screening/triage",symptoms; arrival_location; mask_availability,seasonality_profile_id; current_date; community_activity_level; waiting_area_density; destination_ward_vulnerability,mask intolerance; supply shortage,separate_symptomatic_persons_in_waiting_area; rapid_influenza_test_review,Low-complexity action; should be easy to execute,"Log time, actor, and whether mask was accepted",ready
separate_symptomatic_persons_in_waiting_area,Separate symptomatic persons in waiting area,waiting_area_control,exposure_reduction,patient_or_visitor,waiting_area_or_triage_zone,at_first_contact,clinical_operations,frontline_clinician_or_unit_lead,required,reversible,Seat symptomatic persons away from others or route to separate area when possible,symptomatic_status; available_space; intake_flow,seasonality_profile_id; current_date; community_activity_level; waiting_area_density; vulnerable_population_presence,no physical space; emergency crowding,screen_and_mask_symptomatic_person; activate_screening_triage_and_visual_alerts,May require temporary workaround rather than ideal separation,Log separation method and whether dedicated area existed,ready
rapid_influenza_test_review,Review rapid influenza testing,diagnostics,diagnostic_acceleration,patient,individual,as_soon_as_suspected,treating_team,clinician,required,reversible,Review whether rapid influenza testing or confirmatory testing is indicated,symptoms; onset_timing; current_case_status; test_availability,seasonality_profile_id; current_date; community_activity_level; same_room_exposure; same_unit_exposure; hospital_respiratory_burden; ward_cluster_state; ward_vulnerability,test unavailable; poor sample feasibility; result unlikely to change management,implement_droplet_precautions_review; antiviral_treatment_review,Testing pathway may vary by hospital capability,"Log order time, test type, and result linkage",ready
implement_droplet_precautions_review,Implement droplet precautions review,isolation_and_ppe,transmission_control,patient,room_and_care_team,immediate,ipc_plus_treating_team,ipc_or_treating_clinician,required,reversible,Review and implement droplet precautions for suspected or confirmed influenza,case_status; symptom_onset; patient_location; current_precaution_status,seasonality_profile_id; current_date; community_activity_level; immunocompromise_status; ward_vulnerability; outbreak_state; prolonged_shedding_risk,no feasible PPE supply; severe patient non-adherence; unclear diagnosis,private_room_or_cohort_review; transport_precaution_review; visitor_management_review; agp_precaution_review,Core reviewable infection-control action,"Log start time, stop time, and reviewer",ready
private_room_or_cohort_review,Private room or cohort review,rooming_and_bed_management,room_assignment,patient,room_or_unit,immediate,bed_management_plus_ipc,ipc_or_bed_manager,required,reversible,"Review whether patient should be placed in a single room, cohorted, or managed through another IPC-approved placement option",case_status; room_availability; roommate_profile; bed_status,seasonality_profile_id; current_date; influenza_specific_hospital_burden; ward_vulnerability; same_room_exposure; same_unit_exposure; outbreak_state; capacity_stress,no single room available; no suitable cohort partner; roommate extremely vulnerable,multi_bed_room_contingency_review; implement_droplet_precautions_review,Requires bed-management input and documented rationale,"Log rooming decision, alternatives considered, and constraint reason",ready
multi_bed_room_contingency_review,Multi-bed room contingency review,contingency_rooming,capacity_management,patient_and_roommate,room,immediate_when_capacity_limited,ipc_plus_bed_management,ipc,required,reversible,"Review contingency strategy when single-room placement is not feasible, including barriers, roommate selection, masking, and related safeguards",case_status; room_capacity; roommate_profile; barrier_feasibility; masking_feasibility,seasonality_profile_id; current_date; influenza_specific_hospital_burden; ward_vulnerability; outbreak_state; same_room_exposure_history; prophylaxis_policy; capacity_stress,incompatible roommate; no barrier capability; extreme vulnerability; unsafe room layout,private_room_or_cohort_review; postexposure_prophylaxis_review; visitor_management_review,Use only under explicit capacity constraints,Log why ideal placement failed and which safeguards were selected,ready_partial
antiviral_treatment_review,Antiviral treatment review,clinical_management,treatment_review,patient,individual,same_day,treating_team,licensed_clinician,required,reversible,Review whether antiviral treatment is indicated and feasible,diagnosis_status; symptom_timing; renal_function; medication_profile; allergy_history,seasonality_profile_id; current_date; community_activity_level; patient_vulnerability; severity_context; outbreak_context,contraindication; drug interaction; unavailable drug; clinically inappropriate timing,rapid_influenza_test_review; prolonged_shedding_review; implement_droplet_precautions_review,Clinical action only after human review,"Log indication, chosen drug, timing, and reason if not started",ready
postexposure_prophylaxis_review,Postexposure prophylaxis review,prevention_review,prevention_after_exposure,exposed_patient_or_hcp,individual_or_exposure_group,as_early_as_possible,treating_team_plus_ipc,licensed_clinician,required,reversible,Review whether antiviral prophylaxis is indicated after documented influenza exposure,exposure_type; exposure_timing; target_identity; renal_function; medication_profile,seasonality_profile_id; current_date; community_activity_level; same_room_exposure; ward_vulnerability; ward_saturation_state; hcw_vaccination_coverage; influenza_specific_hospital_burden,contraindication; delayed recognition beyond useful window; unavailable drug,multi_bed_room_contingency_review; cross_coverage_restriction_review; transport_precaution_review,"Should remain reviewable, not auto-ordered","Log exposure basis, review time, and final decision",ready
staff_work_restriction_review,Staff work restriction review,occupational_health,source_control,hcp,individual,immediate,occupational_health_plus_supervisor,occupational_health_or_supervisor,required,reversible,Review whether symptomatic or influenza-positive staff should be removed from work or reassigned,symptoms; test_status_if_available; work_assignment; current_shift_status,seasonality_profile_id; current_date; community_activity_level; high_vulnerability_ward_assignment; multi_ward_cross_coverage; ward_cluster_state; hcw_vaccination_coverage,severe staffing emergency; unclear symptom status,cross_coverage_restriction_review; staff_masking_escalation_review,Key reviewable action for staff-vector control,"Log restriction decision, duration, and override reason",ready
