pack_id,intervention_name,trigger_context,target_entity,timing_window,action_type,default_review_level,operational_constraints,source_basis,finding_text,codeblue_translation,data_status
influenza_hai_v1,seasonal_alerting_and_front_end_screening,deployment_prealert_or_high_activity,facility_entry_points,preseason_and_active_period,screening_and_alerting,unit_lead_plus_ipc,"Requires signage, triage process, mask supply, and staffing",CDC Flu Infection Control 2025,CDC advises screening/triage and respiratory hygiene during periods of increased community influenza activity,Route front-end screening and alerting based on external seasonality profile and current status,ready
influenza_hai_v1,annual_vaccination_program_and_coverage_review,preseason_or_active_period,hcp_and_target_patients,preseason_and_during_activity,vaccination_program_review,facility_leadership_plus_occ_health,"Requires supply, access, coverage monitoring, and communication",CDC Flu Infection Control 2025; CDC High Risk 2024,CDC says annual influenza vaccination is the most important preventive measure and high HCP/patient coverage is critical,Route vaccination and coverage review as a standing seasonal prevention program,ready
influenza_hai_v1,screen_mask_and_respiratory_hygiene_review,symptomatic_arrival_or_symptomatic_visitor,patient_or_visitor,immediate,source_control_review,frontline_team,Requires mask tolerance and intake workflow,CDC Flu Infection Control 2025,"CDC recommends screening symptomatic persons, masking, and respiratory hygiene/cough etiquette",Route immediate source-control review at first contact,ready
influenza_hai_v1,ill_hcp_exclusion_and_occ_health_review,hcp_fever_or_respiratory_symptoms,hcp,immediate_and_until_return,work_restriction_review,occupational_health_plus_supervisor,Needs non-punitive leave policy and staffing backup,CDC Flu Infection Control 2025,"CDC says ill HCP should not report to work or should stop patient care, mask, notify, and remain excluded until criteria are met",Route immediate occupational-health and staffing review when HCP illness is detected,ready
influenza_hai_v1,hcp_return_with_residual_symptoms_review,hcp_returns_with_cough_or_sneezing,hcp,upon_return,masking_and_hand_hygiene_review,supervisor_plus_occ_health,Needs monitoring of patient-facing assignments,CDC Flu Infection Control 2025,CDC says returning HCP with residual cough/sneezing should wear a facemask during patient care and reinforce hand hygiene,Keep a staff-source-control layer even after fever ends,ready
influenza_hai_v1,droplet_precautions_review,suspected_or_confirmed_inpatient_influenza,patient,immediate_through_default_window,precaution_review,ipc_plus_clinical_team,May need extension in special populations,CDC Flu Infection Control 2025,"CDC recommends Droplet Precautions for 7 days after illness onset or until 24 hours after fever and respiratory symptoms resolve, whichever is longer",Use as the default inpatient influenza isolation-duration rule,ready
influenza_hai_v1,private_room_or_cohorting_review,suspected_or_confirmed_inpatient_influenza_or_room_shortage,patient_and_room,immediate,rooming_review,ipc_plus_bed_management,Single-room shortages may require cohorting or other IPC-reviewed placement options,CDC Flu Infection Control 2025; CDC Isolation Precautions 2023,CDC advises a private room or area and recommends infection-control consultation when a single room is not available,Route IPC-backed rooming review rather than hard-coded bed placement,ready
influenza_hai_v1,transport_mask_and_handoff_review,transport_or_transfer_of_infectious_patient,patient,before_transport,transport_control_review,clinical_team_plus_transport,Patient may not tolerate mask in all cases,CDC Flu Infection Control 2025,CDC advises masking the patient if possible during transport and communicating precautions before transfer,Route transport precautions as a standard leakage-control review,ready
influenza_hai_v1,visitor_limitation_and_education_review,visitor_request_while_patient_infectious,patient_and_visitor,during_infectious_period,visitor_management_review,unit_team_plus_ipc,Local legal and humanitarian exceptions may apply,CDC Flu Infection Control 2025,CDC advises limiting in-person visitation while the patient is infectious and counseling on risks,Route visitor review during the infectious period,ready
influenza_hai_v1,agp_precaution_review,planned_or_emergent_agp_on_influenza_patient,patient_and_procedure_team,before_or_during_agp,enhanced_procedure_review,procedure_team_plus_ipc,Emergent cases may limit ideal setup but not the review,CDC Flu Infection Control 2025,"CDC advises AGPs only when medically necessary, limiting personnel, using N95-equivalent respiratory protection, and applying environmental controls","Route enhanced procedure review for AGPs, not ordinary bedside care",ready
influenza_hai_v1,antiviral_treatment_review,suspected_or_confirmed_influenza,patient,same_day,treatment_review,clinical_team,"Depends on contraindications, timing, and drug availability",CDC Antivirals 2026,CDC says antivirals are an important adjunct to vaccination and oseltamivir is recommended for treatment in hospitalized patients,Route human-reviewed antiviral treatment consideration for hospitalized cases,ready
influenza_hai_v1,postexposure_chemoprophylaxis_review,documented_meaningful_exposure_to_influenza,exposed_person,as_early_as_possible,prophylaxis_review,clinical_team_plus_ipc,"Depends on contraindications, timing, and local policy",CDC Antivirals 2026,CDC states oseltamivir is FDA-approved for chemoprophylaxis to prevent influenza,Route reviewable prophylaxis decisions after meaningful exposure; do not auto-order,ready
influenza_hai_v1,protective_environment_exception_review,hcp_returning_to_hsct_or_protective_environment_assignment,hcp,before_assignment_or_return,special_population_review,occupational_health_plus_unit_lead,Applies only to HSCT/protective-environment contexts,CDC Flu Infection Control 2025,CDC says HCP returning to care for protective-environment patients such as HSCT may need temporary reassignment or exclusion,Route stricter staff-review logic for HSCT/protective-environment settings,ready
influenza_hai_v1,leadership_training_and_monitoring_support,preseason_and_active_period,facility_or_unit,preseason_and_ongoing,governance_support,facility_leadership_plus_ipc,Requires organizational support and audit capacity,CDC Core Practices 2024,"CDC Core Practices require leadership support, training, patient/family education, surveillance, monitoring, and feedback",Use as the governance backbone beneath the influenza-specific interventions,ready
