map_id,trigger_id,action_id,relationship_type,timing_expectation,base_priority,activation_logic,eligibility_logic,matched_contextual_inputs,seasonality_modifier,vaccination_modifier,vulnerability_modifier,spread_state_modifier,capacity_modifier,suppression_logic,fallback_action_id,review_role,review_rationale,data_status
map_001,deployment_prealert_window_active,annual_vaccination_program_and_coverage_tracking,recommended,preseason_and_prepeak,medium,Activate when current date enters the local pre-alert window,Applies facility-wide or to defined units,seasonality_profile_id; current_date; vaccination_campaign_start; vaccination_campaign_end; prior_hai_burden; hcw_vaccination_gap; service_line_vulnerability,Raise priority in the local pre-alert window before peak activity,Further escalate when HCW or target-patient coverage is below goal,Escalate in high-risk service lines,Escalate if prior season had outbreaks,Minimal capacity effect,Suppress only if campaign already active and reviewed recently,blank,facility_lead,This creates a configurable early-preparedness phase without hardcoding geography into the pack,ready
map_002,deployment_prealert_window_active,activate_screening_triage_and_visual_alerts,recommended,prealert_window,medium,Activate when local pre-alert period begins and preparedness should intensify,Applies to intake and triage workflows,seasonality_profile_id; current_date; community_activity_level; prior_hai_burden,Increase preparedness before expected local rise,Escalate if coverage remains poor entering the pre-alert phase,Escalate in facilities serving vulnerable populations,Escalate if prior season had importation-linked spread,Minimal capacity effect,Suppress if already active and no deactivation was recorded,blank,unit_lead_or_ipc,"Pre-alert lets the hospital move before the seasonal peak, not after it",ready
map_003,deployment_high_alert_window_active,activate_screening_triage_and_visual_alerts,recommended,immediate_when_high_alert_begins,high,Activate when current date enters the local high-alert window,"Applies to entry points, ED, registration, waiting areas",seasonality_profile_id; current_date; community_activity_level; hospital_respiratory_burden; influenza_specific_hospital_burden; prior_hai_burden,Escalate once the local high-alert window starts,Escalate further if coverage is low,Escalate for high-volume intake points feeding vulnerable wards,Escalate if local burden or recent importations are rising,May need phased activation if staffing is constrained,Suppress when window has ended and burden remains low,blank,unit_lead_or_ipc,This ties seasonal activation to an editable deployment profile instead of a fixed local assumption,ready
map_004,deployment_high_alert_window_active,annual_vaccination_program_and_coverage_tracking,recommended,active_window,medium,Continue or intensify vaccination/coverage review during active high-alert period,Applies facility-wide or to target subgroups,seasonality_profile_id; current_date; vaccination_campaign_start; vaccination_campaign_end; hcw_vaccination_gap; community_activity_level,Escalate during the local high-alert phase,Escalate when current protection gaps remain,Escalate in vulnerable service lines,Escalate if in-hospital burden is rising,Low capacity effect,Suppress only if campaign period has ended and coverage review is current,blank,facility_lead,"Seasonal high-alert should reinforce preventive program review, not replace it",ready
map_005,elevated_current_community_activity,activate_screening_triage_and_visual_alerts,recommended,current_week,high,Activate when current community activity is moderate or high,Applies to front-end intake and waiting areas,community_activity_level; seasonality_profile_id; current_date; prior_hai_burden,Escalate even outside the normal seasonal window if community activity rises,Escalate if low vaccination protection is present,Escalate in facilities serving many vulnerable patients,Escalate if current activity suggests importation pressure,Low staffing may require partial rather than full activation,Suppress when current activity drops and no override is active,blank,unit_lead_or_ipc,This creates a live epidemiology trigger that can override the calendar,ready
map_006,elevated_current_community_activity,rapid_influenza_test_review,recommended,current_week,medium,Increase diagnostic vigilance when local community activity rises,"Use when testing would alter precautions, treatment, or placement",community_activity_level; seasonality_profile_id; same_room_exposure; same_unit_exposure; ward_cluster_state; ward_vulnerability,"Escalate whenever community activity is elevated, even off-profile",Escalate if vaccination protection is low,Escalate in high-vulnerability wards and patients,Escalate if importation-linked spread is suspected,Low capacity effect,Suppress if influenza testing would not change management,blank,clinician,"Community activity should change diagnostic suspicion, not just calendar status",ready
map_007,elevated_current_hospital_burden,outbreak_escalation_review,recommended,current_week,high,Activate when hospital respiratory burden or influenza-specific burden is moderate or high,"Applies to ward, service-line, or hospital review",hospital_respiratory_burden; influenza_specific_hospital_burden; ward_vulnerability; capacity_stress,Seasonality can amplify urgency but is not required,Escalate further if vaccination protection is weak,Escalate in high-vulnerability wards/services,Escalate if the hospital is still mostly clean or if cluster emergence is suspected,Capacity stress directly increases urgency,Suppress if burden normalizes and no linked spread is evident,staff_masking_escalation_review,ipc,This lets the hospital react to its own burden rather than just the external calendar,ready
map_008,elevated_current_hospital_burden,staff_masking_escalation_review,recommended,current_week,high,Activate when ward/facility burden suggests broader staff-source control is warranted,Requires ward or facility threshold logic or IPC judgment,influenza_specific_hospital_burden; ward_vulnerability; hcw_vaccination_coverage; cluster_signal; staff_movement_between_units; capacity_stress,Seasonality amplifies urgency but is not required,Escalate if staff vaccination coverage is poor,Escalate in vulnerable wards or wards with high staff mobility,Escalate when spread is broadening beyond isolated cases,Escalate if rooming pressures make staff-source control more important,Suppress if burden normalizes and masking escalation was recently reviewed,outbreak_escalation_review,ipc,High burden without staff-source mitigation can accelerate hospital spread,ready
map_009,manual_epidemiology_override,outbreak_escalation_review,conditional,immediate,high,Activate when local epidemiology is atypical or off-season activity is under review,Requires active override flag and documented reason,active_override_flag; override_reason; unusual_offseason_activity; seasonality_profile_id,Override normal seasonal assumptions completely,Use human judgment if vaccination context changes local risk,Escalate if vulnerable wards or patients are involved,Escalate if hidden spread or atypical cluster is suspected,Escalate if staffing/room capacity failures are part of the concern,Suppress when override is withdrawn,rapid_influenza_test_review,ipc_or_clinician,This preserves human-in-the-loop control when reality diverges from the seasonal profile,ready
map_010,manual_epidemiology_override,rapid_influenza_test_review,conditional,same_day,medium,Trigger when manual reviewer wants faster case clarification before escalation,Requires unresolved diagnostic uncertainty,manual_flag; override_reason; flagged_entity; seasonality_profile_id; community_activity_level; ward_cluster_state,Override can make influenza testing urgent even off-season,Use human judgment if vaccination context meaningfully changes concern,Escalate if unresolved symptoms are in fragile patients or wards,Escalate if reviewer suspects early cluster or hidden spread,Testing capacity may limit speed,Suppress if diagnosis already adequately established,outbreak_escalation_review,clinician_or_ipc,Manual override should be able to accelerate diagnosis before broader response,ready
map_011,respiratory_symptoms_at_arrival,screen_and_mask_symptomatic_person,required,at_first_contact,high,"Trigger on cough, fever, rhinorrhea, sore throat, myalgia, or other respiratory symptoms",Applies to symptomatic patients or visitors,arrival_location; seasonality_profile_id; current_date; community_activity_level; waiting_area_density; destination_ward_vulnerability,Escalate during active local season or high current activity,Escalate if entering low-vaccination or low-protection setting,Escalate if destination is a high-vulnerability ward or waiting area includes fragile patients,Escalate if there are recent linked cases from same intake stream,None unless masks are scarce,Suppress only if symptoms are clearly non-respiratory or mask use is unsafe,separate_symptomatic_persons_in_waiting_area,frontline_clinician_or_unit_lead,Immediate source control is low cost and prevents early exposure chains,ready
map_012,respiratory_symptoms_at_arrival,separate_symptomatic_persons_in_waiting_area,recommended,at_first_contact,medium,Trigger when symptomatic person cannot be immediately roomed or triaged onward,Requires waiting-area exposure risk or intake delay,seasonality_profile_id; current_date; community_activity_level; waiting_area_density; vulnerable_population_presence,Escalate during high local activity,Not strongly vaccination-driven,"Escalate when nearby patients are elderly, immunocompromised, or otherwise vulnerable",Escalate if multiple symptomatic arrivals occur in a short window,Space shortage may require improvised separation zone,Suppress when immediate direct rooming is available,screen_and_mask_symptomatic_person,frontline_clinician_or_unit_lead,Waiting-area separation is adaptive pressure relief during surges,ready
map_013,respiratory_symptoms_at_arrival,rapid_influenza_test_review,recommended,same_day,medium,"Trigger when testing would change precautions, treatment review, or room placement",Requires plausible influenza syndrome or exposure context,seasonality_profile_id; current_date; community_activity_level; same_room_exposure; same_unit_exposure; hospital_respiratory_burden; ward_cluster_state; ward_vulnerability,Escalate during known local activity,Escalate when low vaccination coverage increases pretest concern,Escalate in high-vulnerability wards or patients,Escalate if ward already has possible cluster or linked exposures,Lab constraints can delay but not eliminate review,Suppress when testing would not change management or influenza likelihood is very low,blank,clinician,"Testing should be adaptive to transmission risk, not reflexive for every mild symptom",ready
map_014,suspected_or_confirmed_inpatient_influenza,implement_droplet_precautions_review,required,immediate,critical,Trigger at suspicion or confirmation of inpatient influenza,Applies to any suspected or confirmed inpatient case,seasonality_profile_id; current_date; community_activity_level; immunocompromise_status; ward_vulnerability; outbreak_state; prolonged_shedding_risk,"Escalate during active local circulation, but valid year-round",Not primarily vaccination-driven once case is suspected,Escalate duration and urgency for immunocompromised or high-vulnerability contexts,Escalate if case is first in a clean vulnerable ward or part of cluster,"If no single room is available, pair with rooming review",Suppress only if suspicion is confidently overturned,private_room_or_cohort_review,ipc_or_treating_clinician,Core transmission-control action once influenza is clinically plausible,ready
